mag,ra,dec
8.15,0.064616,57.378277
8.27,0.064653,22.296047
7.66,0.064819,-28.393812
8.59,0.065007,-57.8305
11.55,0.065329,-42.559484
7.09,0.065582,14.378864
8.54,0.065729,-45.288616
9.58,0.065845,-43.191813
8.44,0.065842,36.970256
8.59,0.065973,61.103636
8.01,0.066077,-48.125185
8.29,0.06611,20.953729
9.62,0.066148,-71.278716
7.26,0.066736,12.145797
7.91,0.066844,-80.395115
9.45,0.06731,-38.594754
8.19,0.067721,62.22195
12.14,0.06809,-16.997642
8.93,0.068863,-25.892663
7.65,0.069009,56.920983
8.53,0.069494,17.436643
7.38,0.069514,49.870181
8.56,0.069593,39.119902
8.76,0.069655,11.264375
9.56,0.069748,-4.926111
7.09,0.069972,-30.134913
9.83,0.070115,-10.141117
5.9,0.070462,62.287664
10.8,0.070635,-26.952385
8.41,0.070733,-34.414716
9.05,0.070868,-17.42489
8.79,0.070923,60.155015
8.88,0.071071,14.081538
7.59,0.071106,65.152987
9.6,0.071128,-25.915452
10.66,0.071156,66.349126
8.55,0.071251,-59.315191
8.11,0.07159,-43.988457
9.44,0.071833,-23.253965
9.6,0.071937,-20.568871
5.78,0.072165,-16.529036
10.66,0.072243,40.109948
6.38,0.07231,-29.268822
8.8,0.07253,-53.909434
7.79,0.072581,54.274591
8.6,0.072638,12.957292
7.77,0.07303,-29.381573
10.37,0.073281,-57.322694
9.8,0.073556,-47.068048
10.42,0.074078,58.068692
11.63,0.074107,-44.56729
9.22,0.07489,51.829292
4.99,0.075033,-10.509523
8.43,0.07504,-6.965379
7.33,0.075148,-72.897321
8.93,0.07596,-76.346492
9.09,0.076313,-76.873574
9.26,0.076367,71.968543
8.73,0.076522,-71.695006
9.18,0.076708,-19.437893
8.12,0.07678,43.551312
9.26,0.076802,-15.889228
8.94,0.076833,-31.16905
6.11,0.07683,42.09253
9.13,0.077041,-81.345318
7.9,0.077075,2.937228
9.34,0.077259,29.72228
7.13,0.077295,-51.583329
10.82,0.077358,-50.035925
7.46,0.07772,-70.40426
8.72,0.077732,-8.184953
7.02,0.0778,34.265124
9.08,0.07784,34.27136
8.37,0.078093,6.522449
5.59,0.078131,-71.436891
7.37,0.078129,14.965233
5.68,0.078304,67.166445
8.56,0.078543,17.069735
8.72,0.079014,51.533838
9.06,0.079208,-32.361045
8.82,0.079259,0.056502
8.18,0.079521,1.536895
9.39,0.079681,38.173668
9.1,0.080263,68.188694
8.46,0.080542,38.786214
9.15,0.080682,6.416652
8.28,0.080784,-29.633039
11.67,0.080783,50.234871
8.18,0.080783,43.970719
7.93,0.081113,30.08585
9.21,0.081222,51.982586
6.09,0.081573,34.659797
8.31,0.08148,-30.256604
7.83,0.081641,-31.996653
8.72,0.081689,52.248933
6.61,0.081937,58.532166
6.25,0.08222,26.648764
7.82,0.082306,23.269629
8.66,0.082281,56.05695
8.15,0.082328,64.78142
8.97,0.082478,-18.178726
8.15,0.082634,51.180643
7.47,0.082644,45.673793
8.63,0.082932,26.725262
8.13,0.08296,-70.212445
8.23,0.083006,57.468738
8.41,0.083072,-70.492483
6.47,0.083662,27.674784
9.83,0.083776,33.36001
8.64,0.083844,66.51679
7.73,0.084057,-36.015121
8.64,0.08415,-59.828121
8.94,0.084255,9.279961
8.84,0.084311,1.03771
6.32,0.084395,-0.503035
5.8,0.085039,61.31397
8.97,0.085236,-42.567868
7.53,0.085427,-52.151741
7.41,0.085785,67.840003
7.8,0.085899,30.329032
8.14,0.086042,-62.84522
6.71,0.086046,45.229029
8.73,0.086103,-43.850831
9.37,0.086109,30.331217
8.69,0.086162,2.397208
9.95,0.086297,45.786567
7.1,0.086186,-32.468672
8.09,0.086804,36.303671
6.88,0.086946,35.571012
9.48,0.087459,3.007405
9.04,0.087587,-27.271708
9.3,0.087579,-49.142141
8.49,0.088278,-67.83259
8.3,0.0883,48.477171
7.95,0.088467,-1.794085
7.08,0.088857,68.884433
6.93,0.088876,-38.857152
8.38,0.088894,-21.315338
4.61,0.088928,-5.707618
8.56,0.089883,-37.357364
8.78,0.089114,-59.814504
7.42,0.089347,-56.955649
8.26,0.089502,8.787809
7.71,0.08949,-79.253751
6.91,0.089511,3.606092
9.16,0.089654,-33.499363
8.99,0.089996,28.543724
8.63,0.090083,16.329006
9.9,0.090383,21.5694
7.59,0.090407,-3.851673
7.39,0.090672,-14.422192
11.99,0.090981,76.291567
7.78,0.091036,-37.302536
7.47,0.091117,-42.887387
6.97,0.091178,-7.66542
8.82,0.091222,-61.225853
9.13,0.091345,22.224492
7.86,0.091402,34.10572
7.13,0.09199,-9.61747
9.45,0.092217,-35.129738
12.04,0.092255,-31.967837
8.78,0.09273,76.285818
7.23,0.093034,53.171694
9.73,0.093108,-47.569351
7.36,0.093265,-61.309873
7.36,0.093404,-51.260491
8.47,0.0936,43.401421
9.37,0.094127,-58.28954
6.99,0.094368,55.709898
8.2,0.094664,45.812081
8.36,0.09468,44.468676
8.22,0.0949,58.313259
5.55,0.094989,13.396266
9.91,0.095266,-29.960635
9.67,0.095291,-22.509776
8.6,0.095343,-15.365483
10.07,0.095346,25.61517
10.15,0.095571,-36.778639
7.75,0.095679,17.84029
9.21,0.095939,81.071471
9.66,0.096109,-19.670247
